#{"t_start": 1754334945.4703574, "env_id": "None"}
r,l,t
306.234881,1463,2493.203071
381.628939,831,2497.183743
1357.289915,3600,2514.745476
56.649409,183,2515.583849
307.953912,1050,2520.505376
163.137847,346,2522.007674
306.980842,1981,2532.207239
348.693399,652,2535.335111
397.96131,3600,2551.631295
1705.106297,3600,2569.283739
521.773006,1353,2575.480109
1009.508813,3600,2593.348483
813.470262,1246,2598.925568
117.565212,2443,2610.741957
1429.581665,3600,2628.256495
292.032822,2381,2639.722595
119.45324,280,2641.295434
103.442611,263,2642.615933
89.49119,400,2644.443994
236.818197,1616,2651.756714
384.600972,1558,2658.902385
844.339648,3600,2676.811741
1368.271626,3600,2694.332918
506.515711,3600,2710.865373
1352.069358,3600,2728.4855
1190.409682,3600,2746.606202
1254.743788,3600,2765.345997
83.465652,214,2766.540479
838.067099,3158,2782.322237
1107.632429,3600,2800.720425
621.73494,2236,2812.374447
446.889558,1634,2820.412691
171.82381,631,2823.623344
716.036113,1726,2831.850009
47.092238,170,2832.856754
470.524624,1071,2838.972329
1150.779299,3600,2857.052888
677.229488,3600,2874.988922
170.044733,426,2877.425016
481.104276,1062,2882.958982
400.398967,975,2887.477325
786.278747,3317,2904.135989
174.195159,553,2907.124205
462.549976,1953,2916.760922
1153.974122,3600,2934.899473
479.271227,1372,2942.170565
877.056657,3600,2959.930607
257.693731,858,2964.403747
239.137874,673,2967.998407
552.494325,1432,2974.514754
31.993821,154,2975.37524
35.392091,153,2976.262731
432.631596,3600,2995.287247
1336.36414,3600,3013.293588
341.027557,1385,3020.221072
104.170017,247,3021.640147
211.336769,415,3023.947487
162.648019,734,3027.899604
739.859462,2000,3037.975366
436.126653,1190,3043.929217
777.900109,3600,3061.916452
420.009671,1104,3068.071262
90.246585,938,3072.394714
143.096685,1266,3078.818989
276.116701,483,3081.594316
114.485926,263,3083.089915
652.733489,1494,3090.388409
376.599843,1247,3097.306927
37.32899,153,3098.203497
92.852291,228,3099.400299
30.011108,145,3100.088452
330.990067,1280,3106.011443
722.123071,3278,3122.464748
45.002159,166,3123.355611
654.338264,1387,3130.530312
912.184111,3600,3148.46614
553.367307,2720,3162.17721
175.197586,345,3164.049708
262.345846,445,3166.572491
489.149045,911,3171.732265
69.922267,248,3172.863031
82.206037,216,3173.869358
215.368361,2542,3186.571397
